file,line,type,commit,author,date,time,timezone,datetime,depth,length
style.css,213,css,7a4754b7,jordipham,2025-04-09,18:52:34,-07:00,2025-04-09T18:52:34-07:00,0,0
style.css,214,css,7a4754b7,jordipham,2025-04-09,18:52:34,-07:00,2025-04-09T18:52:34-07:00,0,0
style.css,215,css,7a4754b7,jordipham,2025-04-09,18:52:34,-07:00,2025-04-09T18:52:34-07:00,0,18
style.css,216,css,7a4754b7,jordipham,2025-04-09,18:52:34,-07:00,2025-04-09T18:52:34-07:00,0,19
style.css,217,css,7a4754b7,jordipham,2025-04-09,18:52:34,-07:00,2025-04-09T18:52:34-07:00,0,17
style.css,218,css,7a4754b7,jordipham,2025-04-09,18:52:34,-07:00,2025-04-09T18:52:34-07:00,0,16
style.css,219,css,7a4754b7,jordipham,2025-04-09,18:52:34,-07:00,2025-04-09T18:52:34-07:00,0,20
style.css,220,css,7a4754b7,jordipham,2025-04-09,18:52:34,-07:00,2025-04-09T18:52:34-07:00,0,0
style.css,221,css,7a4754b7,jordipham,2025-04-09,18:52:34,-07:00,2025-04-09T18:52:34-07:00,0,0
style.css,222,css,7a4754b7,jordipham,2025-04-09,18:52:34,-07:00,2025-04-09T18:52:34-07:00,0,28
style.css,223,css,7a4754b7,jordipham,2025-04-09,18:52:34,-07:00,2025-04-09T18:52:34-07:00,0,29
style.css,224,css,7a4754b7,jordipham,2025-04-09,18:52:34,-07:00,2025-04-09T18:52:34-07:00,0,28
style.css,225,css,7a4754b7,jordipham,2025-04-09,18:52:34,-07:00,2025-04-09T18:52:34-07:00,0,17
style.css,226,css,7a4754b7,jordipham,2025-04-09,18:52:34,-07:00,2025-04-09T18:52:34-07:00,0,21
style.css,227,css,7a4754b7,jordipham,2025-04-09,18:52:34,-07:00,2025-04-09T18:52:34-07:00,0,0
style.css,228,css,7a4754b7,jordipham,2025-04-09,18:52:34,-07:00,2025-04-09T18:52:34-07:00,0,0
style.css,229,css,7a4754b7,jordipham,2025-04-09,18:52:34,-07:00,2025-04-09T18:52:34-07:00,0,27
style.css,230,css,7a4754b7,jordipham,2025-04-09,18:52:34,-07:00,2025-04-09T18:52:34-07:00,0,28
style.css,231,css,7a4754b7,jordipham,2025-04-09,18:52:34,-07:00,2025-04-09T18:52:34-07:00,0,27
style.css,232,css,7a4754b7,jordipham,2025-04-09,18:52:34,-07:00,2025-04-09T18:52:34-07:00,0,11
style.css,233,css,7a4754b7,jordipham,2025-04-09,18:52:34,-07:00,2025-04-09T18:52:34-07:00,0,18
style.css,234,css,7a4754b7,jordipham,2025-04-09,18:52:34,-07:00,2025-04-09T18:52:34-07:00,0,20
style.css,235,css,7a4754b7,jordipham,2025-04-09,18:52:34,-07:00,2025-04-09T18:52:34-07:00,0,0
